,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,FEX_C,P6016,P1894,P6020,P6034,P6040,P6051,P5502,P6071,P6071S1,P756,P756S1,P756S2,P756S3,P3510,P3510S1,P3510S1A1,P3510S1A2,P3510S1A3,P3510S1A4,P3510S1A5,P3510S1A6,P3510S1A7,P3510S1A8,P3510S1A9,P3510S1A10,P3510S1A11,P3510S2,P3510S2A1,P3510S2A2,P3510S2A3,P3510S2A4,P3510S2A5,P3510S2A6,P3510S2A7,P3510S2A8,P3510S2A9,P3510S2A10,P3510S2A11,P6074,P755,P755S1,P755S2,P755S3,P754,P753,P753S1,P753S2,P753S3,P752,P1662,P6081,P6081S1,P6087,P6083,P6083S1,P6088,P6080,P2057,P2059,P2061,P1895,P1896,P1897,P1898,P1899,P3175,P1901,P1903,P1904,P1905,P1927,P3038,P3039
88494,8411754,1,1,1,"456,6395651",1,3,1,1,31,1,5.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,15.0,15001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,2,,1.0,2,,1.0,6,1.0,,1.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,0.0,0.0,10.0,8.0,2.0,1.0
92649,8413453,1,1,1,"131,4676212",1,3,1,1,31,1,2.0,1.0,2.0,2,5.0,5197.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,5.0,5055.0,,2.0,3.0,11.0,11001.0,,1.0,1.0,2,,3.0,2,,2.0,6,1.0,,1.0,8.0,8.0,9.0,10.0,8.0,5.0,8.0,1.0,0.0,9.0,9.0,2.0,1.0
92650,8413453,2,1,2,"131,4676212",2,3,2,1,30,2,2.0,1.0,1.0,2,5.0,5055.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,5.0,5055.0,,2.0,3.0,11.0,11001.0,,1.0,1.0,2,,2.0,3,,1.0,6,1.0,,1.0,8.0,7.0,10.0,10.0,7.0,6.0,8.0,1.0,0.0,9.0,9.0,1.0,2.0
93819,8413896,4,1,4,"151,126513",4,3,2,1,23,3,1.0,1.0,5.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,1.0,3.0,11.0,11001.0,,1.0,8.0,2,,4.0,1,1.0,,6,2.0,2.0,2.0,8.0,99.0,8.0,8.0,8.0,8.0,6.0,0.0,0.0,8.0,8.0,1.0,2.0
93820,8413896,5,1,5,"151,126513",5,3,1,1,19,8,1.0,1.0,4.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,1.0,3.0,11.0,11001.0,,1.0,8.0,2,,1.0,2,,3.0,6,2.0,2.0,2.0,8.0,8.0,8.0,7.0,8.0,7.0,6.0,0.0,0.0,8.0,7.0,2.0,1.0
95628,8414629,1,1,1,"155,7231424",1,3,2,1,32,1,5.0,,,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,8.0,2,,1.0,2,,1.0,6,1.0,,1.0,8.0,4.0,4.0,8.0,6.0,6.0,6.0,3.0,4.0,7.0,6.0,1.0,2.0
97929,8415607,1,1,1,"203,4346832",1,11,2,1,22,1,2.0,1.0,2.0,3,,,3.0,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,4.0,,,3.0,,3.0,11.0,11001.0,,1.0,1.0,2,,2.0,2,,2.0,6,1.0,,9.0,6.0,7.0,8.0,9.0,8.0,7.0,8.0,1.0,1.0,8.0,7.0,1.0,2.0
97930,8415607,2,1,2,"203,4346832",2,11,1,1,23,2,2.0,1.0,1.0,3,,,3.0,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,4.0,,,3.0,,3.0,11.0,11001.0,,1.0,1.0,2,,2.0,2,,2.0,6,1.0,,9.0,8.0,6.0,7.0,8.0,9.0,3.0,10.0,2.0,2.0,9.0,8.0,2.0,1.0
98411,8415804,1,1,1,"638,7466467",1,3,1,1,43,1,5.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,3,,10.0,2,,8.0,6,2.0,2.0,2.0,4.0,4.0,4.0,10.0,4.0,7.0,8.0,0.0,0.0,10.0,8.0,2.0,1.0
98444,8415818,2,1,2,"218,1304961",2,3,2,1,75,7,5.0,,,2,17.0,17380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,25.0,25126.0,,1.0,3.0,11.0,11001.0,,1.0,8.0,3,,2.0,3,,2.0,6,2.0,2.0,2.0,10.0,99.0,8.0,10.0,10.0,10.0,9.0,1.0,1.0,10.0,8.0,1.0,2.0
