,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,FEX_C,P6016,P1894,P6020,P6034,P6040,P6051,P5502,P6071,P6071S1,P756,P756S1,P756S2,P756S3,P3510,P3510S1,P3510S1A1,P3510S1A2,P3510S1A3,P3510S1A4,P3510S1A5,P3510S1A6,P3510S1A7,P3510S1A8,P3510S1A9,P3510S1A10,P3510S1A11,P3510S2,P3510S2A1,P3510S2A2,P3510S2A3,P3510S2A4,P3510S2A5,P3510S2A6,P3510S2A7,P3510S2A8,P3510S2A9,P3510S2A10,P3510S2A11,P6074,P755,P755S1,P755S2,P755S3,P754,P753,P753S1,P753S2,P753S3,P752,P1662,P6081,P6081S1,P6087,P6083,P6083S1,P6088,P6080,P2057,P2059,P2061,P1895,P1896,P1897,P1898,P1899,P3175,P1901,P1903,P1904,P1905,P1927,P3038,P3039
132291,8430157,1,1,1,"378,3143077",1,3,1,1,29,1,2.0,1.0,2.0,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,3.0,2,,2.0,2,,3.0,6,2.0,2.0,2.0,5.0,5.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,8.0,2.0,1.0
132292,8430157,2,1,2,"378,3143077",2,3,2,1,26,2,2.0,1.0,1.0,2,73.0,73443.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,3.0,2,,10.0,2,,10.0,6,2.0,2.0,2.0,4.0,99.0,9.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,1.0,2.0
132316,8430167,2,1,2,"430,3120066",2,3,1,1,36,2,2.0,1.0,1.0,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,8.0,2,,4.0,2,,4.0,6,2.0,2.0,2.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,2.0,1.0
132342,8430178,1,1,1,"247,7471488",1,3,1,1,33,1,2.0,1.0,2.0,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,7.0,2,,4.0,2,,4.0,6,2.0,2.0,2.0,10.0,8.0,8.0,9.0,10.0,10.0,10.0,0.0,0.0,10.0,8.0,2.0,1.0
132343,8430178,2,1,2,"247,7471488",2,3,2,1,29,2,2.0,1.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,7.0,2,,4.0,2,,4.0,6,2.0,2.0,2.0,10.0,8.0,8.0,10.0,10.0,10.0,10.0,0.0,0.0,8.0,8.0,1.0,2.0
135545,8431501,4,1,4,"44,44081603",4,3,2,1,81,5,4.0,,,2,15.0,15325.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,3.0,3,,10.0,3,,10.0,6,1.0,,1.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,6.0,7.0,1.0,2.0
135635,8431542,3,1,3,"15,92972863",3,3,2,1,50,3,2.0,2.0,,2,25.0,25875.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,8.0,3,,1.0,1,1.0,,6,2.0,2.0,1.0,8.0,5.0,8.0,7.0,6.0,6.0,7.0,0.0,0.0,7.0,7.0,1.0,2.0
137276,8432182,1,1,1,"88,1084698",1,3,1,1,65,1,2.0,1.0,2.0,2,15.0,15368.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,3,,1.0,3,,1.0,6,1.0,,1.0,9.0,5.0,9.0,8.0,3.0,8.0,8.0,0.0,0.0,8.0,8.0,2.0,1.0
137277,8432182,2,1,2,"88,1084698",2,3,2,1,55,2,2.0,1.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,3,,1.0,3,,1.0,6,1.0,,1.0,8.0,7.0,9.0,8.0,6.0,8.0,7.0,0.0,0.0,9.0,9.0,1.0,2.0
139209,8432923,3,1,3,"108,4905715",3,3,2,1,41,4,4.0,,,2,76.0,76109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,1,2.0,,2,,6.0,5,2.0,2.0,1.0,8.0,6.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,1.0,2.0
141588,8433814,1,1,1,"57,7882817",1,3,2,1,44,1,4.0,,,2,15.0,15755.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,2.0,3.0,2,,1.0,2,,1.0,6,2.0,1.0,1.0,8.0,4.0,7.0,7.0,6.0,6.0,2.0,6.0,2.0,8.0,8.0,1.0,2.0
145620,8443799,1,1,1,"147,1043545",1,3,1,1,62,1,6.0,1.0,2.0,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,11.0,3,,1.0,3,,1.0,6,2.0,2.0,1.0,10.0,10.0,8.0,8.0,8.0,8.0,8.0,1.0,1.0,10.0,9.0,2.0,1.0
145621,8443799,2,1,2,"147,1043545",2,3,2,1,53,2,6.0,1.0,1.0,2,66.0,66594.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,11.0,3,,1.0,2,,9.0,6,1.0,,1.0,7.0,8.0,8.0,8.0,8.0,9.0,8.0,5.0,4.0,8.0,8.0,1.0,2.0
146084,8444003,1,1,1,"148,3961741",1,3,1,1,66,1,6.0,1.0,2.0,2,17.0,17662.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,2.0,3.0,11.0,11001.0,,2.0,3.0,2,,2.0,2,,2.0,6,2.0,2.0,2.0,8.0,10.0,10.0,9.0,10.0,10.0,8.0,0.0,0.0,10.0,7.0,2.0,1.0
146085,8444003,2,1,2,"148,3961741",2,3,2,1,57,2,6.0,1.0,1.0,2,25.0,25297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,2.0,3.0,11.0,11001.0,,2.0,3.0,2,,1.0,2,,3.0,6,2.0,2.0,2.0,9.0,99.0,6.0,9.0,10.0,10.0,8.0,0.0,0.0,10.0,8.0,1.0,2.0
147913,8444669,2,1,2,"56,37812279",2,3,2,1,35,3,2.0,2.0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,8.0,8001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,2,,1.0,1,1.0,,6,1.0,,1.0,8.0,5.0,4.0,5.0,6.0,5.0,9.0,4.0,1.0,9.0,9.0,1.0,2.0
148434,8444901,1,1,1,"871,9571256",1,3,1,1,39,1,6.0,1.0,2.0,2,15.0,15248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,10.0,2,,1.0,2,,9.0,6,2.0,2.0,2.0,7.0,7.0,8.0,8.0,7.0,6.0,6.0,7.0,7.0,7.0,8.0,2.0,1.0
148435,8444901,2,1,2,"871,9571256",2,3,2,1,31,2,6.0,1.0,1.0,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,10.0,2,,7.0,2,,3.0,6,2.0,2.0,2.0,6.0,7.0,8.0,7.0,7.0,7.0,6.0,7.0,7.0,6.0,7.0,1.0,2.0
149320,8445296,1,1,1,"166,0454554",1,3,1,1,31,1,2.0,1.0,2.0,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,2.0,3.0,11.0,11001.0,,2.0,11.0,2,,3.0,2,,2.0,6,1.0,,1.0,8.0,5.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,8.0,7.0,2.0,1.0
149321,8445296,2,1,2,"166,0454554",2,3,2,1,32,2,2.0,1.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,11.0,2,,10.0,2,,4.0,6,1.0,,1.0,8.0,4.0,7.0,10.0,10.0,8.0,10.0,0.0,0.0,8.0,8.0,1.0,2.0
149839,8445509,1,1,1,"95,10526297",1,3,2,1,21,1,5.0,,,2,25.0,25183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,25.0,25183.0,,2.0,3.0,11.0,11001.0,,1.0,2.0,2,,2.0,2,,4.0,6,1.0,,2.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,1.0,2.0
150148,8445641,3,1,3,"190,1092854",1,3,2,1,64,9,4.0,,,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,3.0,3,,9.0,3,,9.0,6,2.0,2.0,2.0,7.0,8.0,3.0,8.0,5.0,8.0,6.0,8.0,5.0,8.0,8.0,1.0,2.0
150711,8445836,1,1,1,"23,63341972",1,3,2,1,63,1,4.0,,,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,1.0,3.0,11.0,11001.0,,1.0,1.0,3,,1.0,3,,1.0,6,2.0,2.0,2.0,8.0,7.0,7.0,8.0,8.0,7.0,9.0,0.0,0.0,7.0,7.0,1.0,2.0
156418,8448111,2,1,2,"14,82198589",2,3,1,1,49,3,4.0,,,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,8.0,3,,9.0,1,1.0,,6,1.0,,2.0,6.0,3.0,8.0,5.0,6.0,7.0,6.0,7.0,3.0,6.0,6.0,2.0,1.0
156774,8448264,1,1,1,"218,8420873",1,3,2,1,25,1,5.0,,,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,2,,6.0,2,,6.0,6,2.0,2.0,2.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,2.0,2.0,9.0,8.0,1.0,2.0
157237,8448460,3,1,3,"372,1621701",3,3,1,1,20,3,5.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,1.0,3.0,11.0,11001.0,,1.0,1.0,1,1.0,,1,2.0,,6,2.0,2.0,2.0,6.0,3.0,8.0,8.0,3.0,6.0,6.0,2.0,2.0,3.0,8.0,2.0,1.0
160051,8449670,1,1,1,"201,8644596",1,3,2,1,28,1,5.0,,,2,44.0,44430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,7.0,2,,1.0,2,,4.0,6,2.0,2.0,2.0,10.0,5.0,10.0,10.0,7.0,10.0,8.0,10.0,0.0,10.0,7.0,1.0,2.0
162721,8450663,1,1,1,"164,5382088",1,3,2,1,25,1,5.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,2,,2.0,2,,2.0,6,2.0,2.0,2.0,8.0,7.0,8.0,9.0,8.0,8.0,8.0,2.0,2.0,8.0,9.0,1.0,2.0
163332,8450937,1,1,1,"170,0966132",1,3,1,1,37,1,6.0,1.0,2.0,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,11.0,2,,6.0,2,,2.0,6,2.0,2.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,3.0,0.0,10.0,6.0,2.0,1.0
163333,8450937,2,1,2,"170,0966132",2,3,2,1,40,2,6.0,1.0,1.0,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,11.0,2,,2.0,2,,2.0,6,2.0,2.0,1.0,10.0,10.0,10.0,9.0,10.0,3.0,7.0,3.0,4.0,10.0,8.0,1.0,2.0
163334,8450937,3,1,3,"170,0966132",3,3,2,1,21,3,5.0,,,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,8.0,1,1.0,,1,2.0,,6,2.0,2.0,1.0,10.0,99.0,10.0,10.0,2.0,4.0,8.0,7.0,0.0,10.0,8.0,1.0,2.0
163335,8450937,4,1,4,"170,0966132",4,3,1,1,18,3,5.0,,,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,2.0,8.0,1,1.0,,1,2.0,,6,2.0,2.0,1.0,10.0,2.0,10.0,10.0,3.0,6.0,10.0,0.0,0.0,8.0,9.0,2.0,1.0
163371,8450950,1,1,1,"72,62189791",1,3,1,1,71,1,6.0,1.0,2.0,2,15.0,15759.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,11.0,3,,1.0,3,,1.0,6,2.0,1.0,1.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,4.0,3.0,8.0,7.0,2.0,1.0
163372,8450950,2,1,2,"72,62189791",2,3,2,1,67,2,6.0,1.0,1.0,2,15.0,15047.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,11.0,3,,1.0,3,,1.0,6,1.0,,1.0,8.0,7.0,8.0,8.0,9.0,9.0,8.0,4.0,4.0,9.0,8.0,1.0,2.0
163437,8450980,3,1,3,"20,09177068",3,3,1,1,88,6,2.0,1.0,4.0,2,25.0,25823.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,25.0,25823.0,,2.0,3.0,11.0,11001.0,,2.0,11.0,3,,9.0,3,,9.0,6,1.0,,1.0,8.0,5.0,5.0,5.0,5.0,5.0,6.0,4.0,4.0,8.0,7.0,2.0,1.0
163438,8450980,4,1,4,"20,09177068",4,3,2,1,78,6,2.0,1.0,3.0,2,25.0,25817.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,25.0,25823.0,,2.0,3.0,11.0,11001.0,,1.0,11.0,3,,9.0,3,,9.0,6,1.0,,1.0,7.0,7.0,7.0,8.0,10.0,8.0,9.0,1.0,2.0,8.0,7.0,1.0,2.0
164050,8451204,1,1,1,"45,20843634",1,3,1,1,71,1,6.0,1.0,2.0,2,25.0,25815.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,8.0,3,,1.0,2,,2.0,6,1.0,,1.0,9.0,9.0,7.0,9.0,9.0,9.0,10.0,0.0,0.0,10.0,9.0,2.0,1.0
164051,8451204,2,1,2,"45,20843634",2,3,2,1,66,2,6.0,1.0,1.0,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,8.0,2,,10.0,1,5.0,,6,1.0,,1.0,8.0,8.0,7.0,8.0,6.0,8.0,8.0,0.0,0.0,10.0,8.0,1.0,2.0
166159,8452015,7,1,7,"233,7384646",7,3,1,1,21,9,5.0,,,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,2,,4.0,2,,10.0,6,2.0,2.0,2.0,8.0,7.0,10.0,8.0,10.0,10.0,10.0,0.0,0.0,10.0,9.0,2.0,1.0
167179,8452444,2,1,2,"41,46203119",2,3,2,1,53,3,4.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,8.0,3,,1.0,1,1.0,,6,1.0,,1.0,9.0,7.0,7.0,10.0,7.0,10.0,5.0,0.0,6.0,10.0,7.0,1.0,2.0
172044,8454429,1,1,1,"13,82760764",1,3,2,1,57,1,4.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,95.0,95001.0,,1.0,3.0,11.0,11001.0,,1.0,11.0,3,,9.0,2,,9.0,1,1.0,,1.0,8.0,4.0,6.0,10.0,9.0,10.0,10.0,0.0,0.0,4.0,6.0,1.0,2.0
172381,8454568,2,1,2,"493,8482976",2,3,2,1,30,2,2.0,1.0,1.0,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,7.0,2,,1.0,2,,3.0,6,2.0,2.0,2.0,8.0,8.0,6.0,10.0,7.0,5.0,8.0,8.0,2.0,10.0,8.0,1.0,2.0
172462,8454600,3,1,3,"245,0477567",3,3,2,1,30,7,5.0,,,2,73.0,73168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,73.0,73168.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,2,,1.0,2,,9.0,6,1.0,,2.0,6.0,1.0,7.0,5.0,1.0,10.0,6.0,7.0,10.0,9.0,7.0,1.0,2.0
173527,8455040,1,1,1,"129,998145",1,3,1,1,29,1,5.0,,,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,2,,4.0,2,,8.0,6,2.0,2.0,2.0,8.0,7.0,7.0,8.0,8.0,10.0,9.0,7.0,0.0,10.0,9.0,2.0,1.0
173528,8455041,1,1,1,"89,81865812",1,3,2,1,40,1,5.0,,,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,2,,3.0,2,,3.0,6,2.0,2.0,2.0,7.0,7.0,7.0,8.0,5.0,8.0,8.0,2.0,3.0,8.0,8.0,1.0,2.0
175549,8455849,1,1,1,"24,5240411",1,3,2,1,30,1,2.0,2.0,,2,73.0,73001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,2.0,3.0,11.0,11001.0,,1.0,11.0,2,,4.0,2,,4.0,6,2.0,2.0,1.0,9.0,6.0,9.0,9.0,9.0,8.0,9.0,2.0,2.0,10.0,9.0,1.0,2.0
177859,8456846,1,1,1,"910,5856949",1,3,1,1,32,1,5.0,,,2,17.0,17616.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,2,,4.0,2,,5.0,6,2.0,2.0,2.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,4.0,7.0,7.0,6.0,2.0,1.0
180418,8457841,1,1,1,"197,580657",1,3,2,1,41,1,4.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,11.0,2,,1.0,2,,1.0,6,1.0,,1.0,8.0,5.0,5.0,7.0,7.0,6.0,7.0,8.0,8.0,8.0,6.0,1.0,2.0
182580,8458710,2,1,2,"362,165162",2,3,2,1,33,2,2.0,1.0,1.0,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,8.0,2,,4.0,2,,4.0,6,2.0,2.0,2.0,10.0,99.0,10.0,10.0,10.0,10.0,9.0,0.0,0.0,10.0,8.0,1.0,2.0
184297,8459392,1,1,1,"23,22406886",1,3,2,1,40,1,2.0,1.0,2.0,2,88.0,88001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,8.0,2,,1.0,2,,1.0,6,2.0,2.0,2.0,8.0,8.0,9.0,6.0,8.0,9.0,9.0,6.0,0.0,8.0,10.0,1.0,2.0
188087,8460863,6,1,6,"236,8320845",6,3,2,1,20,8,2.0,1.0,5.0,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,5.0,2,,10.0,2,,10.0,6,2.0,2.0,1.0,8.0,99.0,10.0,9.0,8.0,8.0,9.0,4.0,1.0,9.0,9.0,1.0,2.0
188108,8460872,1,1,1,"20,05539216",1,3,1,1,69,1,4.0,,,2,73.0,73624.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,,1.0,,3.0,11.0,11001.0,,1.0,3.0,3,,2.0,3,,1.0,6,1.0,,1.0,10.0,10.0,5.0,10.0,9.0,10.0,10.0,0.0,0.0,10.0,5.0,2.0,1.0
188129,8460880,1,1,1,"16,17806552",1,3,1,1,42,1,6.0,2.0,,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,8.0,3,,2.0,1,2.0,,6,2.0,2.0,1.0,8.0,8.0,8.0,7.0,9.0,8.0,10.0,0.0,0.0,10.0,8.0,2.0,1.0
188130,8460880,2,1,2,"16,17806552",2,3,2,1,74,5,3.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,10.0,3,,2.0,3,,1.0,6,1.0,,1.0,8.0,3.0,8.0,5.0,7.0,8.0,10.0,0.0,0.0,10.0,10.0,1.0,2.0
188397,8460973,1,1,1,"120,9263449",1,3,1,1,64,1,5.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,11.0,3,,2.0,3,,2.0,6,2.0,2.0,2.0,9.0,9.0,9.0,7.0,6.0,6.0,9.0,6.0,0.0,9.0,9.0,2.0,1.0
188866,8461163,1,1,1,"142,9288035",1,3,2,1,27,1,5.0,,,2,73.0,73030.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,2,,3.0,2,,4.0,6,2.0,2.0,2.0,10.0,8.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,8.0,1.0,2.0
188937,8461201,1,1,1,"66,58579381",1,3,1,1,26,1,2.0,1.0,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,2,,1.0,2,,1.0,6,2.0,2.0,2.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,2.0,1.0
188938,8461201,2,1,2,"66,58579381",2,3,2,1,27,2,2.0,1.0,1.0,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,8.0,2,,1.0,2,,1.0,6,2.0,2.0,2.0,10.0,99.0,10.0,10.0,5.0,10.0,10.0,0.0,0.0,10.0,10.0,1.0,2.0
190121,8461660,1,1,1,"108,0666836",1,3,1,1,73,1,4.0,,,2,8.0,8421.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,2.0,3.0,11.0,11001.0,,2.0,1.0,3,,9.0,3,,9.0,6,1.0,,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,7.0,2.0,1.0
190676,8461856,3,1,3,"150,5035994",3,3,2,1,32,3,5.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,8.0,1,1.0,,1,2.0,,6,2.0,2.0,2.0,9.0,3.0,9.0,7.0,9.0,8.0,10.0,0.0,0.0,10.0,10.0,1.0,2.0
193036,8462903,1,1,1,"5,615712529",1,3,1,1,52,1,2.0,1.0,2.0,2,68.0,68770.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,11.0,3,,1.0,2,,1.0,6,1.0,,1.0,9.0,5.0,10.0,5.0,8.0,0.0,8.0,3.0,0.0,9.0,8.0,2.0,1.0
195384,8464066,2,1,2,"158,6245333",2,11,2,1,26,2,1.0,1.0,1.0,3,,,3.0,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,4.0,,,3.0,,3.0,11.0,11001.0,,1.0,7.0,2,,8.0,2,,8.0,6,1.0,,2.0,6.0,2.0,8.0,8.0,5.0,6.0,6.0,5.0,6.0,7.0,4.0,1.0,2.0
200071,8466068,4,1,4,"16,50584859",4,3,1,1,23,3,5.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,2.0,3.0,11.0,11001.0,,1.0,2.0,1,1.0,,1,2.0,,1,2.0,2.0,1.0,6.0,5.0,8.0,8.0,8.0,8.0,8.0,7.0,3.0,9.0,8.0,2.0,1.0
201251,8466524,2,1,2,"267,8486709",2,3,2,1,18,3,4.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,2.0,3.0,11.0,11001.0,,1.0,11.0,2,,1.0,1,1.0,,5,1.0,,1.0,4.0,99.0,8.0,7.0,0.0,7.0,5.0,3.0,3.0,7.0,6.0,1.0,2.0
201550,8466669,2,1,2,"8,774449639",2,3,1,1,40,3,6.0,2.0,,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,8.0,3,,8.0,1,1.0,,6,2.0,2.0,1.0,10.0,7.0,10.0,8.0,8.0,8.0,10.0,0.0,0.0,10.0,10.0,2.0,1.0
201555,8466672,1,1,1,"201,9298661",1,3,1,1,54,1,2.0,1.0,2.0,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,11.0,3,,10.0,3,,10.0,6,2.0,2.0,2.0,6.0,6.0,8.0,7.0,7.0,8.0,9.0,1.0,0.0,8.0,7.0,2.0,1.0
201556,8466672,2,1,2,"201,9298661",2,3,2,1,53,2,2.0,1.0,1.0,2,63.0,63302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,1.0,3.0,11.0,11001.0,,1.0,11.0,3,,10.0,3,,10.0,6,2.0,2.0,2.0,5.0,99.0,5.0,7.0,7.0,9.0,5.0,4.0,6.0,9.0,8.0,1.0,2.0
201621,8466696,1,1,1,"438,9105668",1,3,1,1,66,1,6.0,1.0,2.0,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,11.0,3,,10.0,3,,2.0,6,2.0,2.0,2.0,9.0,6.0,10.0,6.0,10.0,10.0,10.0,0.0,0.0,10.0,9.0,2.0,1.0
